lAboutText1	~1~ ~2~ (~3~ bits)
lOptionsExclusionDetail1	Pour bloquer le bouton de souris [~1~] du menu QAP dans une application, tapez n'importe quelle partie du titre de la fenêtre de l'application . Vous pouvez entrer plusieurs exclusions, une par ligne. Par exemple, pour exclure Chrome et Word, entrez ces deux lignes dans la liste d'exclusion:`n`nGoogle Chrome`nMicrosoft Word
lOptionsExclusionDetail2	Le bouton de souris du menu QAP sera inactif dans ces applications et le clic sur [~1~] sera traité par l'application visée comme si QAP ne roulait pas. Vous pouvez aussi exclure des fenêtres par leur nom de classe. Vous trouvez de l'aide et du soutien sur cette fonction <a href="~2~">sur le site web de QAP</a>.
lOptionsExclusionList	Exclusions
lOptionsExclusionTitle	Liste d'exclusions pour le bouton de souris [~1~]
lOptionsFtpEncoding	Encoder le code d'utilisateur et le mot de passe FTP (recommandé)
lOptionsFtpEncodingTC	Encoder le code d'utilisateur et le mot de passe FTP (déconseillé aux utilisateurs de Total Commander)
lOptionsGuiTitle	Options - ~1~ ~2~
lOptionsHotkeyRemindersFull	Montrer les noms complets
lOptionsHotkeyRemindersNo	Ne pas afficher
lOptionsHotkeyRemindersPrompt	Rappel des raccourcis dans les menus:
lOptionsHotkeyRemindersShort	Afficher les noms abrégés
lOptionsIconSize	Taille des icones de menu
lOptionsLanguage	Langue
lOptionsLanguageLabels	Anglais|Français|Allemand|Néerlandais|Coréen|Suédois|Italien|Espagnol|Portugais brésilien
lOptionsMenuActiveWindow	Dans la fenêtre active
lOptionsMenuFixPosition	À une position fixe
lOptionsMenuNearMouse	Près du pointeur de la souris
lOptionsMenuPositionPrompt	Afficher le menu popup:
lOptionsMouseAndKeyboard	Déclencheurs
lOptionsOpenMenuOnTaskbar	Ouvrir le menu sur la barre des tâches
lOptionsOtherOptions	Général
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeyTitles	Bouton de souris du menu Quick Access Popup|Raccourci clavier du menu Quick Access Popup|Bouton de souris du menu Alternatif|Raccourci clavier du menu Alternatif
lOptionsPopupHotkeyTitlesSub	Ce bouton de la souris affiche le menu n'importe où  (sauf dans les  <a>applications exclues</a>) et ouvre votre favori ou change le dossier dans la fenêtre active.|Ce raccourci clavier affiche le menu n'importe où  et ouvre votre favori ou change le dossier dans la fenêtre active.|Ce bouton de la souris affiche le menu Alternatif qui propose diverses fonctions. Ce menu s'affiche n'importe où (sans exception).|Ce raccourci clavier affiche le menu Alternatif qui propose diverses fonctions. Ce menu s'affiche n'importe où.
lOptionsRecentFolders	Nombre d'emplacements récents dans le menu
lOptionsRecentFoldersPrompt	Emplacements récents:
lOptionsRememberSettingsPosition	Mémoriser la position de la fenêtre
lOptionsRunAtStartup	Exécuter au démarrage
lOptionsTabFileManagersIntro	Sélectionnez le gestionnaire de fichiers à utiliser pour ouvrir des dossiers dans une nouvelle fenêtre.
lOptionsTabMouseAndKeyboardIntro	Choisir les boutons de la souris et les raccourcis du clavier déclenchant le menu principal de ~1~.
lOptionsTabOtherOptionsIntro	Adaptez ~1~ à vos préférences!
lOptionsTheme	Thème
lOptionsThirdParty	Gestionnaires de fichiers
lOptionsThirdPartyDetail	Pour activer l'intégration avec ~1~, localisez le programme .exe sous votre dossier Program Files.
lOptionsThirdPartyDetailQAPconnect	Sélectionnez votre gestionnaire de fichiers (ou modifiez ~1~ pour l'ajouter - voir l'aide)
lOptionsThirdPartyFileNotFound	Le fichier de l'application ~1~ est introuvable: "~2~".
lOptionsThirdPartySelectedHelp	Gestionnaire de fichiers: ~1~ (<a href="~2~">~3~</a>)
lOptionsThirdPartySelectFile	Veuillez choisir le fichier exécutable de l'application ~1~ à l'aide du bouton "Parcourir"
lOptionsThirdPartyUseTabs	Utiliser les onglets au lieu d'ouvrir dans une nouvelle fenêtre
lOptionsTrayTip	Afficher la notification au démarrage
lPickIconNoLocation	Veuillez d'abord choisisr un favori avant de sélectionner une icône.
lReloadPrompt	Changement de ~1~ enregistré: ~2~. Voulez-vous relancer ~3~ en ~2~ maintenant? Les changements non sauvegardés dans le menu des dossiers seront perdus.
lTrayTipInstalledDetail	~1~ ou ~2~ pour lancer vos favoris
lTrayTipInstalledTitle	~1~ ~2~ est prêt!
lTrayTipWorkingDetail	Préparation des menus
lTrayTipWorkingDetailFinished	Le menu a été mis à jour.
lTrayTipWorkingTitle	~1~ ~2~ se prépare...
lUpdateButtonRemind	Rappelez-moi
lUpdateError	Une erreur est survenue lors de la vérification du numéro de la plus récente version. La vérification de la mise à jour est interrompue.
lUpdatePrompt	Mettre à jour ~1~ de la version v~2~ à la version v~3~?
lUpdatePromptAlpha	Il y a une nouvelle version ALPHA de ~1~.`n`nMettre à jour ~1~ de la version v~2~ à la version v~3~?
lUpdatePromptAlphaContinue	Désirez-vous toujours être informé des futures versions alpha?
lUpdatePromptBeta	Il y a une nouvelle version BETA de ~1~.`n`nMettre à jour ~1~ de la version v~2~ à la version v~3~?
lUpdatePromptBetaContinue	Désirez-vous toujours être informé des futures versions beta?
lUpdateTitle	Mettre à jour ~1~?
lUpdateYouHaveLatest	Vous avez la version la plus récente: ~1~.`n`nVisiter la page web de ~2~ quand même?
lWindowIsTreeviewText	Désolé... À cause d'une limitation de Windows, ce type de boîte de dialogue (TreeView) n'est pas compatible avec ~1~ pour le moment.
lWindowIsTreeviewTitle	Boîte de dialogue incompatible
