lAboutText1	~1~ ~2~ (~3~ bit)
lOopsOSVerrsionError	~1~ benötigt Window 7 oder ein aktuelleres Betriebssystem. Nutzer von Windows Vista und XP dürfen gerne Folders Popup verwenden.`n`nWollen Sie die Folders Popup Webseite besuchen?
lOopsQAPfeature	QAP Funktionen
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Es scheint, daß ~1~ aus einem SCHREIBGESCHÜTZTEN ORDNER heraus ausgeführt wird, in dem die Konfigurationsdatei "~1~.ini" nicht erstellt werden kann.`n`nVerschieben Sie die ~1~ .EXE Datei in einen STANDARD Ordner Ihrer Wahl und führen Sie es daraus nochmals aus.`n`n~1~ wird beendet.
lOopsWrongThirdPartyPath	Falscher Pfad oder Dateiname für ~1~:`n~2~.`n`nPrüfen Sie die ausgewählte .exe Datei auf ~1~ unter "Optionen", tab "~3~".
lOopsWrongThirdPartyPathQAPconnect	Falscher Pfad oder Dateiname für QAPconnect Anwendung`n~1~:`n~2~.`n`nPrüfen Sie die Werte für [~1~] in ~3~. Verwenden Sie den Schalter "~4~" in der Registerkarte "Optionen" "~5~".
lOopsZipFileError	Es scheint, daß ~1~ direkt aus einer .ZIP Datei ausgeführt wird.`n`nSie müssen zuerst die Datei ~1~ .EXE aus dem Archiv in ein Verzeichnis Ihrer Wahl entpacken und dann ausführen.`n`n~1~ wird beendet.
lOptionsAlternativeMenuFeatures	Alternative Menü-Hotkeys
lOptionsAlternativeMenuFeaturesIntro	Verwalten Sie die Shortcuts welche die Funktionen des alternativen Menüs steuern.
lOptionsChangeFolderInDialog	Ändern Sie die Ordner der Dialogboxen mit den Haupt QAP hotkeys
lOptionsChangeFolderInDialogCheckbox	Aktivieren Sie das Kontrollkästchen, daß Sie verstanden haben, welche möglichen Konsequenzen es haben könnte, die Funktion Ordner wechseln in "nicht-Datei" Dialogboxen zu verwenden.
lOptionsChangeFolderInDialogText	Aktivieren Sie diese Option um die Ordnernavigation in Dialogboxen zu nutzen (Öffnen, Speichern unter, usw.), lesen Sie aber bitte die folgende Warnung.`n`nNutzen Sie diese Funktion AUSSCHLIESSLICH in Dateidialogen. Wenn Sie es in anderen Dialogboxen verwenden, beispielsweise in Optionsdialogen, könnte es ohne Hinweis zu Änderungen in den Dialogboxen kommen.
lOptionsChangeHotkey	Ändern
lOptionsCheck4Update	Nach Update suchen
lOptionsDisplayIcons	Zeige Symbole im Menü
lOptionsDisplayMenuShortcuts	Zeige &numerische Menü-Tastenkürzel
lOptionsExclusionDetail1	Um die QAP Mausmenü-Taste [~1~] in einer Anwendung zu blockieren, geben Sie einen beliebigen Teil des Fenstertitels der Anwendung an. Sie können mehrere Ausnahmen eingeben (jewils eine Zeile). Um Beispielsweise Chrome und Word auszuschliessen, geben Sie die folgenden beiden Zeilen in die Ausnahmeliste ein:`n`nGoogle Chrome`nMicrosoft Word
lOptionsExclusionDetail2	Der QAP Hotkey wird in diesen Anwendungen deaktiviert und der [~1~] Klick wird an das Zielfenster weitergegeben, so als ob QAP nicht laufen würde. Sie können Fenster auch anhand deren Klasse ausschliessen. Hilfe und Unterstützung für diese Funktion finden Sie unter <a href="~2~">auf der QAP Webseite</a>.
lOptionsExclusionList	Ausnahmeliste
lOptionsExclusionTitle	Ausnahmeliste für Maus-Ereignis [~1~]
lOptionsFtpEncoding	Verschlüssle FTP Usernamen und Passwort (empfohlen)
lOptionsFtpEncodingTC	Verschlüssle FTP Usernamen und Passwort (nicht empfohlen für Total Commander)
lOptionsGuiTitle	Optionen - ~1~ ~2~
lOptionsHotkeyRemindersFull	Zeige vollständige Namen
lOptionsHotkeyRemindersNo	Nicht anzeigen
lOptionsHotkeyRemindersPrompt	Hotkey-Erinnerungen im Menü:
lOptionsHotkeyRemindersShort	Zeige abgekürzte Namen
lOptionsIconSize	Symbolgröße im Menü
lOptionsLanguage	Sprache
lOptionsLanguageLabels	Englisch|Französisch|Deutsch|Schwedisch|Spanisch|Brasilianisch Portugiesisch
lOptionsMenuActiveWindow	Im aktiven Fenster
lOptionsMenuFixPosition	An fester Position
lOptionsMenuNearMouse	Nahe des Mauszeigers
lOptionsMenuPositionPrompt	Menü aufpoppen:
lOptionsMouseAndKeyboard	Menü Hotkeys
lOptionsOpenMenuOnTaskbar	Menü in der Taskleiste öffnen
lOptionsOtherOptions	Allgemein
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeyTitles	Quick Access Popup Maustaste|Quick Access Popup Tastaturkürzel|Alternatives Menü Maustaste|Alternatives Menü Tastaturkürzel
lOptionsPopupHotkeyTitlesSub	Diese Maustaste aktiviert das Menü überall (ausser über <a>ausgeschlossene Anwendungen</a>) und startet Favoriten oder navigiert zu Ordnern.|Dieses Tastenkürzel aktiviert das Menü überall und startet Favoriten oder navigiert zu Ordnern.|Diese Maustaste aktiviert ein alternatives Menü mit verschiedenen Funktionen. Dieses Menü kann überall erscheinen (ohne Ausnahme).|Dieses Tastenkürzel aktiviert ein alternatives Menü mit verschiedenen Funktionen. Dieses Menü kann überall erscheinen.
lOptionsRecentFolders	Anzahl der Ordner im Menü
lOptionsRecentFoldersPrompt	Zuletzt verwendete Ordner:
lOptionsRememberSettingsPosition	Fensterposition merken
lOptionsRunAtStartup	Beim Sta&rt ausführen
lOptionsTabFileManagersIntro	Wählen Sie den Dateimanager für das Öffnen in einem neuen Fenster.
lOptionsTabMouseAndKeyboardIntro	Legen Sie die Maustasten und Tastaturkürzel für das Auslösen des ~1~ Hauptmenüs.
lOptionsTabOtherOptionsIntro	Lassen Sie ~1~ funktionieren, wie Sie es wollen!
lOptionsTheme	Thema
lOptionsThirdParty	Unterstützung anderer Dateimananger
lOptionsThirdPartyDetail	Wählen Sie die ~1~ Programmdatei (.exe) um die ~1~ Integration einzuschalten.
lOptionsThirdPartyDetailQAPconnect	Wählen Sie ihren Dateimanager (oder bearbeiten Sie ~1~ um ihn hinzuzufügen - siehe Hilfe).
lOptionsThirdPartyFileNotFound	~1~ Anwendungsdatei "~2~" nicht gefunden.
lOptionsThirdPartySelectedHelp	Gewählter Dateimanager: ~1~ (<a href="~2~">~3~</a>)
lOptionsThirdPartySelectFile	Wählen Sie bitte die ~1~ Anwendungsdatei über die "Auswählen" Schaltfläche
lOptionsThirdPartyUseTabs	Verwende Registerkarten satt eines neuen Fensters
lOptionsTrayTip	Beim Start &Tray-Tip anzeigen
lPickIconNoLocation	Bitte zuerst einen Favoriten auswählen, bevor ein Icon gewählt wird.
lReloadPrompt	~1~  wurde in ~2~ geändert. Wollen Sie jetzt ~3~ in ~2~ neu laden? Ungespeicherte Änderungen am Ordnermenü gehen verloren.
lTrayTipInstalledDetail	~1~ oder ~2~ um Favoriten zu starten
lTrayTipInstalledTitle	~1~ ~2~ bereit!
lTrayTipWorkingDetail	Erzeuge Menüs
lTrayTipWorkingDetailFinished	Das Menü wurde aktualisiert.
lTrayTipWorkingTitle	~1~ ~2~ arbeite...
lUpdateButtonRemind	Erinnere mich
lUpdateError	Beim Zugriff auf die letzte Versionsnummer trat ein Fehler auf. Prüfe auf unterbrochene Updates.
lUpdatePrompt	Update ~1~ von v~2~ auf v~3~?
lUpdatePromptAlpha	Es gibt eine neue ~1~ ALPHA Version.`n`nUpdate ~1~ von v~2~ auf v~3~?
lUpdatePromptAlphaContinue	Wollen Sie weiterhin über zukünftige Alpha-Versionen informiert werden?
lUpdatePromptBeta	Es gibt eine neue ~1~ BETA-Version.`n`nUpdate ~1~ von v~2~ auf v~3~?
lUpdatePromptBetaContinue	Wollen Sie weiterhin über zukünftige Beta-Versionen informiert werden?
lUpdateTitle	Update ~1~?
lUpdateYouHaveLatest	Sie verwenden die aktuellste Version: ~1~.`n`nTrotzdem die ~2~ Webseite besuchen?
lWindowIsTreeviewText	Entschuldigung... Aufgrund einer Beschränkung von Windows wird diese Art Dialogbox (Baumstruktur) momentan nicht von ~1~ unterstützt.
lWindowIsTreeviewTitle	Baumstruktur-Dialogbox nicht unterstützt
