lAboutText1	~1~ ~2~ (~3~ bits)
lOptionsHotkeyRemindersPrompt	Lembretes de tecla de atalho no menu:
lOptionsHotkeyRemindersShort	Exibir nomes abreviados
lOptionsIconSize	Tamanho dos ícones no menu
lOptionsLanguage	Idioma
lOptionsLanguageLabels	Inglês|Francês|Alemão|Sueco|Espanhol|Português (Brasil)|Italiano
lOptionsMenuActiveWindow	Canto superior esquerdo da janela ativa
lOptionsMenuFixPosition	Em uma posição fixa
lOptionsMenuNearMouse	Próximo do ponteiro do mouse
lOptionsMenuPositionPrompt	Abrir o menu:
lOptionsMouseAndKeyboard	Teclas de atalho do menu
lOptionsOpenMenuOnTaskbar	Abrir menu na barra de tarefas
lOptionsOtherOptions	Geral
lOptionsPopupFixPositionX	Posição X:
lOptionsPopupFixPositionY	Y:
lOptionsPopupHotkeyTitles	Botão do Mouse do Quick Access Popup|Atalho de Teclado do Quick Access Popup|Botão do Mouse do Menu Alternativo|Atlaho de Teclado do Menu Alternativo
lOptionsPopupHotkeyTitlesSub	Este botão do mouse exibe o menu em qualquer lugar (exceto sobre <a>aplicativos excluídos</a>) e inicia seu favorito ou navega para sua pasta.|Esta tecla de atalho exibe o menu em qualquer lugar e inicia seu favorito ou navega para sua pasta.|Este botão do mouse exibe um menu alteranativo oferecendo vários recursos. Este menu pode ser exibido em qualquer lugar (sem exceção).|Esta tecla de atalho exibe um menu alternativo oferecendo vários recursos. Este menu pode ser exibido em qualquer lugar.
lOptionsRecentFolders	Número de pastas no menu
lOptionsRecentFoldersPrompt	Pastas Recentes
lOptionsRememberSettingsPosition	Lembrar posição da janela
lOptionsRunAtStartup	Executa&r na Inicialização
lOptionsTabFileManagersIntro	Selecione o gerenciador de arquivos para abrir pastas em uma nova janela.
lOptionsTabMouseAndKeyboardIntro	Defina os botões do mouse e teclas de atalho do teclado que irão disparar o menu principal do ~1~.
lOptionsTabOtherOptionsIntro	Faça o ~1~ funcionar do jeito que você gosta!
lOptionsTheme	Tema
lOptionsThirdParty	Suporte para gerenciadores de arquivos
lOptionsThirdPartyDetail	Selecione o arquivo de programa do ~1~ (.exe) para ativar a integração do ~1~.
lOptionsThirdPartyDetailQAPconnect	Selecione seu gerenciador de arquivos (ou edite ~1~ para adicioná-lo - veja a ajuda).
lOptionsThirdPartyFileNotFound	O arquivo executável do ~1~ "~2~" não foi encontrado.
lOptionsThirdPartySelectedHelp	Gerenciador de Arquivos Selecionado: ~1~ (<a href="~2~">~3~</a>)
lOptionsThirdPartySelectFile	Por favor, selecione o arquivo executável do ~1~ usando o botão "Procurar"
lOptionsThirdPartyUseTabs	Use abas em vez de abrir em uma nova janela
lOptionsTrayTip	Exibir &Dicas na Inicialização
lPickIconNoLocation	Selecione primeiro um favorito antes de escolher um ícone.
lReloadPrompt	~1~ foi alterado para ~2~. Deseja reiniciar ~3~ em ~2~ agora? Alterações não salvas no menu de pastas serão perdidas.
lTrayTipInstalledDetail	~1~ ou ~2~ para iniciar favoritos
lTrayTipInstalledTitle	~1~ ~2~ pronto!
lTrayTipWorkingDetail	Criando menus
lTrayTipWorkingDetailFinished	O menu foi atualizado.
lTrayTipWorkingTitle	~1~ ~2~ trabalhando...
lUpdateButtonRemind	Lembrar
lUpdateError	Ocorreu um erro ao acessar o número da última versão. Verificação de atualização interrompida.
lUpdatePrompt	Atualizar o ~1~ da v~2~ para v~3~?
lUpdatePromptAlpha	Há uma nova versão ALPHA do ~1~ .`n`nAtualizar o ~1~ da v~2~ para v~3~?
lUpdatePromptAlphaContinue	Deseja ainda ser informado de futuras versões alpha?
lUpdatePromptBeta	Há uma nova versão BETA do ~1~ .`n`nAtualizar o ~1~ da v~2~ para v~3~?
lUpdatePromptBetaContinue	Ainda deseja ser informado de futuras versões beta?
lUpdateTitle	Atualizar o ~1~?
lUpdateYouHaveLatest	Você possui a versão mais atual: ~1~.`n`nVisitar a página do ~2~ assim mesmo?
lWindowIsTreeviewText	Desculpe... Devido a uma limitação do Windows, este tipo de caixa de diálogo (TreeView) não é suportado pelo ~1~ no momento.
lWindowIsTreeviewTitle	Caixa de diálogo de visualização em árvore não suportada
