lAboutText1	~1~ ~2~ (~3~ bits)
lOptionsPopupHotkeyTitlesSub	This mouse button pops the menu anywhere (except over <a>excluded applications</a>) and launch your favorite or navigate to your folder.|This hotkey the menu anywhere and launch your favorite or navigate to your folder.|This mouse pops an alternate menu offering various features. This menu can pop anywhere (without exception).|This hotkey pops an alternate menu offering various features. This menu can pop anywhere. ; new
lOptionsRecentFolders	Number of folders in menu ; CHANGED - WAS: Ubicaciones recientes
lOptionsRecentFoldersPrompt	Recent Folders: ; new
lOptionsRememberSettingsPosition	Memorizar la posición de la ventana
lOptionsRunAtStartup	Ejecutar al inicio
lOptionsTabFileManagersIntro	Select the file manager to use to open folders in a new window. ; CHANGED - WAS: Para los usuarios de los desarrolladores de terceros de los administradores de archivos
lOptionsTabMouseAndKeyboardIntro	Define the mouse buttons and keyboard hotkeys that will trigger the ~1~ main menu. ; CHANGED - WAS: Elegir los botones del ratón y atajos de teclado que lanzarán el menú principal ~1~ (FP).
lOptionsTabOtherOptionsIntro	Adaptar ~1~ a sus preferencias!
lOptionsTheme	Tema
lOptionsThirdParty	Gestores de archivos
lOptionsThirdPartyDetail	Activar integración con ~1~, localizar el programa .exe en la carpeta de Archivos de programa.
lOptionsThirdPartyDetailQAPconnect	Select your file manager (or edit ~1~ to add it - see help). ; new
lOptionsThirdPartyFileNotFound	~1~ application file "~2~" not found. ; new
lOptionsThirdPartySelectedHelp	Selected File Manager: ~1~ (<a href="~2~">~3~</a>) ; new
lOptionsThirdPartySelectFile	Please, select the ~1~ application file using the "Browse" button ; new
lOptionsThirdPartyUseTabs	Use tabs instead of opening in a new window ; new
lOptionsTrayTip	Mostrar notificación al inicio
lPickIconNoLocation	Por favor, primero elegir un favorito antes de seleccionar un icono.
lReloadPrompt	Cambio ~1~ guardado: ~2~. Desea reiniciar ~3~ en ~2~ ahora? Se perderán los cambios no guardados en el menú de carpetas.
lTrayTipInstalledDetail	~1~ or ~2~ to launch favorites ; CHANGED - WAS: Para marcar el menú de ~1~, clicar sobre:`n`n~2~ / ~3~`nen un explorador de archivos o en una caja de diálogo`n`n~4~ / ~5~`npara abrir un nuevo Explorador
lTrayTipInstalledTitle	~1~ ~2~ Listo!
lTrayTipWorkingDetail	Preparación de los menús
lTrayTipWorkingDetailFinished	El menú ha sido actualizado.
lTrayTipWorkingTitle	~1~ ~2~ en preparación...
lUpdateButtonRemind	Recordarme
lUpdateError	Se produjo un error al verificar el número de la última versión. La verificación de la actualización se ha interrumpido.
lUpdatePrompt	Actualizar ~1~ de la versión v~2~ à la versión v~3~?
lUpdatePromptAlpha	There is a new ~1~ ALPHA version.`n`nUpdate ~1~ from v~2~ to v~3~? ; new
lUpdatePromptAlphaContinue	Do you still want to to be informed of future alpha versions? ; new
lUpdatePromptBeta	Hay una nueva versión BETA de ~1~.`n`nActualizar ~1~ de la versión v~2~ à la versión v~3~?
lUpdatePromptBetaContinue	Desea estar informado sobre futuras versiones BETA?
lUpdateTitle	Actualizar ~1~?
lUpdateYouHaveLatest	Usted tiene la versión más reciente: ~1~.`n`nVisitar la página de ~2~ todavía?
lWindowIsTreeviewText	Lo sentimos... A causa de una limitación de Windows, este tipo de caja de diálogo (TreeView) no es compatible con ~1~ de momento.
lWindowIsTreeviewTitle	Caja de diálogo incompatible
